,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
5853,tm1264640,Urvasivo Rakshasivo,movie,2022,144,"romance, comedy, drama",IN,0,5.8,607,4.3,6.5,romance,IN,Low score,High score
5854,tm994923,"Our Lady of San Juan, Four Centuries of Miracles",movie,2021,122,"drama, history",MX,0,6.3,88,4.2,6.6,drama,MX,High score,High score
5855,tm88343,Perazhagan,movie,2021,148,"comedy, thriller, drama, romance",IN,0,6.4,1574,4.2,6.2,comedy,IN,High score,High score
5856,tm1276590,Mighty Express: Mighty Trains Race,movie,2022,26,"family, animation, action",CA,0,7.0,26,4.1,2.0,family,CA,High score,Low score
5857,tm1102410,A StoryBots Space Adventure,movie,2021,12,"animation, family",,0,6.5364428,0,4.0,2.0,animation,,,Low score
5858,tm876997,Most Eligible Bachelor,movie,2021,170,"romance, drama",IN,0,6.1,3502,4.0,5.9,romance,IN,High score,Low score
5859,ts286386,The Big Day,show,2021,43,"reality, romance",US,2,4.7,358,4.0,5.2,reality,US,Low score,Low score
5860,tm945283,Hand Rolled Cigarette,movie,2021,101,drama,HK,0,6.5364428,0,4.0,5.4,drama,HK,,Low score
5861,tm1261146,Kev Adams: The Real Me,movie,2022,60,"comedy, documentation",FR,0,5.2,44,4.0,5.8,comedy,FR,Low score,Low score
5862,tm1235964,Ranga Ranga Vaibhavanga,movie,2022,122,"romance, comedy, drama",IN,0,5.3,838,3.9,4.4,romance,IN,Low score,Low score
5863,tm1246734,Tim Dillon: A Real Hero,movie,2022,48,comedy,US,0,6.3,635,3.9,7.5,comedy,US,High score,High score
5864,tm881587,"Vengeance Is Mine, All Others Pay Cash",movie,2021,114,"romance, action, drama, comedy",ID,0,6.9,782,3.8,6.8,romance,ID,High score,High score
5865,ts297132,Brave Animated Series,show,2021,27,"action, animation",TW,1,7.4,24,3.7,5.0,action,TW,High score,Low score
5866,tm1185813,The Man of God,movie,2022,111,drama,NG,0,4.0,173,3.6,6.1,drama,NG,Low score,High score
5867,ts373672,Brown and Friends,show,2022,13,"animation, comedy, family",US,1,8.3,58,3.5,7.2,animation,US,,High score
5868,tm988613,Madam Chief Minister,movie,2021,123,drama,IN,0,4.8,1829,3.4,5.8,drama,IN,Low score,Low score
5869,tm1131895,Love Is Color Blind,movie,2021,115,"romance, comedy",PH,0,6.1,716,3.4,6.4,romance,PH,High score,High score
5870,tm946277,Love,movie,2021,91,"thriller, drama",IN,0,7.0,1626,3.4,5.9,thriller,IN,High score,Low score
5871,tm1285863,Mathieu Dufour at Bell Centre,movie,2022,63,comedy,CA,0,3.0,46,3.4,6.0,comedy,CA,Low score,High score
5872,tm985215,Princess 'Daya'Reese,movie,2021,115,"romance, comedy",PH,0,7.0,61,3.3,6.629937,romance,PH,High score,
5873,tm1174919,Mike Epps: Indiana Mike,movie,2022,58,"comedy, documentation",,0,4.4,273,3.3,2.7,comedy,,Low score,Low score
5874,ts361179,Justice Served,show,2022,42,"action, crime, drama, thriller",ZA,1,5.0,541,3.3,6.8,action,ZA,Low score,High score
5875,tm1073555,Thimmarusu: Assignment Vali,movie,2021,127,"thriller, crime, drama",IN,0,7.1,1635,3.3,7.7,thriller,IN,High score,High score
5876,tm1080229,Django & Django: Sergio Corbucci Unchained,movie,2022,77,documentation,IT,0,6.9,1340,3.3,7.0,documentation,IT,High score,High score
5877,tm1114350,Story of Dinda: Second Chance of Happiness,movie,2021,59,"drama, romance",ID,0,5.8,72,3.2,4.0,drama,ID,Low score,Low score
5878,ts360974,Strawberry Shortcake: Berry in the Big City,show,2021,8,"animation, family",CA,1,7.1,97,3.2,6.3,animation,CA,High score,High score
5879,tm877456,9to5: The Story of A Movement,movie,2021,89,"documentation, history",US,0,7.4,263,3.1,6.8,documentation,US,High score,High score
5880,tm1164320,Behind the Scenes With Jane Campion,movie,2022,17,documentation,US,0,6.5364428,0,3.1,6.2,documentation,US,,High score
5881,ts318105,Who Likes My Follower?,show,2022,47,"reality, romance",ES,1,5.2,65,3.1,6.0,reality,ES,Low score,High score
5882,tm993790,40-Love,movie,2021,98,comedy,"US, MX",0,6.5364428,0,3.1,2.3,comedy,US,,Low score
5883,tm1245920,Shabaash Mithu,movie,2022,156,"history, drama, sport, action",IN,0,5.5,7994,3.1,6.2,history,IN,Low score,High score
5884,tm1091284,Ankahi Kahaniya,movie,2021,110,"romance, drama",IN,0,5.5,929,3.1,6.5,romance,IN,Low score,High score
5885,ts288544,Creator's File: GOLD,show,2021,25,"drama, comedy",JP,1,6.8,23,3.1,5.5,drama,JP,High score,Low score
5886,tm1040816,Momshies! Your Soul is Mine,movie,2021,108,comedy,PH,0,5.4,43,3.1,4.0,comedy,PH,Low score,Low score
5887,tm1047429,Alan Saldaña: Locked Up,movie,2021,49,comedy,,0,6.5364428,0,3.1,6.0,comedy,,,High score
5888,tm1120212,El Gareema,movie,2022,126,"drama, crime",EG,0,6.5364428,0,3.0,6.0,drama,EG,,High score
5889,tm1237967,Oru Thekkan Thallu Case,movie,2022,150,"thriller, action, comedy, drama",IN,0,6.5,1237,3.0,5.8,thriller,IN,High score,Low score
5890,tm1137196,Route 10,movie,2022,82,"thriller, action, drama",,0,4.9,538,3.0,3.8,thriller,,Low score,Low score
5891,tm1027177,Sarbath,movie,2021,112,"romance, comedy, drama",IN,0,5.7,281,3.0,5.0,romance,IN,Low score,Low score
5892,tm825955,Nikamma,movie,2022,152,"drama, action, comedy",IN,0,2.6,1641,2.9,3.8,drama,IN,Low score,Low score
5893,tm1256885,Doll House,movie,2022,107,drama,PH,0,6.3,416,2.9,6.0,drama,PH,High score,High score
5894,tm1163194,LEGO Friends: Holiday Special,movie,2021,21,animation,,0,5.4,21,2.9,4.8,animation,,Low score,Low score
5895,tm1027297,Time,movie,2021,99,"drama, comedy",HK,0,6.5364428,0,2.9,6.8,drama,HK,,High score
5896,tm1043651,Strain,movie,2021,107,drama,NG,0,5.7,28,2.9,6.0,drama,NG,Low score,High score
5897,tm1174856,Chappelle's Home Team - Earthquake: Legendary,movie,2022,36,comedy,,0,7.0,688,2.9,6.1,comedy,,High score,High score
5898,tm1280700,Varalaru Mukkiyam,movie,2022,155,"romance, comedy",IN,0,6.5364428,0,2.9,7.0,romance,IN,,High score
5899,ts352973,Iron Chef Brazil,show,2022,49,reality,BR,1,7.3,94,2.8,5.5,reality,BR,High score,Low score
5900,ts287804,Mad Crazy Colombian Comedians,show,2021,33,,CO,1,6.5364428,0,2.8,1.5,,CO,,Low score
5901,tm1097142,Arousty,movie,2021,93,"romance, comedy, drama",EG,0,5.0,410,2.8,5.0,romance,EG,Low score,Low score
5902,tm1188818,Operation Romeo,movie,2022,135,"drama, thriller",IN,0,6.3,1099,2.8,5.3,drama,IN,High score,Low score
5903,tm1120636,Johnny Test's Ultimate Meatloaf Quest,movie,2021,20,"animation, family",US,0,6.8,37,2.8,2.8,animation,US,High score,Low score
5904,tm918777,Geez & Ann,movie,2021,105,"drama, romance",ID,0,5.1,306,2.7,6.9,drama,ID,Low score,High score
5905,tm1276129,DSP,movie,2022,144,"drama, action",IN,0,3.4,819,2.7,4.5,drama,IN,Low score,Low score
5906,tm1259286,Nazar Andaaz,movie,2022,103,"comedy, drama",IN,0,7.3,1306,2.7,5.5,comedy,IN,High score,Low score
5907,ts271048,Mighty Little Bheem: Kite Festival,show,2021,7,"family, animation, comedy",,1,7.5,17,2.7,6.0,family,,High score,High score
5908,tm1099969,Angeliena,movie,2021,95,"comedy, drama","ZA, EG",0,6.6,1191,2.7,5.0,comedy,ZA,High score,Low score
5909,tm1277163,Naai Sekar Returns,movie,2022,144,comedy,IN,0,4.2,583,2.7,6.0,comedy,IN,Low score,High score
5910,tm878575,The Heartbreak Club,movie,2021,101,"drama, romance, comedy",ID,0,6.3,208,2.6,8.0,drama,ID,High score,High score
5911,ts285471,The Wedding Coach,show,2021,33,"comedy, reality",US,1,4.9,95,2.6,6.3,comedy,US,Low score,High score
5912,tm823350,Luccas Neto in: Summer Camp,movie,2021,110,"comedy, family, action, music",BR,0,3.0,61,2.6,8.0,comedy,BR,Low score,High score
5913,tm1046969,Myriam Fares: The Journey,movie,2021,72,"music, documentation",LB,0,2.3,193,2.6,6.0,music,LB,Low score,High score
5914,tm1229007,Paul Virzi: Nocturnal Admissions,movie,2022,65,comedy,,0,6.8,237,2.6,5.8,comedy,,High score,Low score
5915,tm1159947,Mo Gilligan: There's Mo to Life,movie,2022,65,comedy,,0,6.0,307,2.6,6.2,comedy,,High score,High score
5916,tm1293742,Sam Morril: Same Time Tomorrow,movie,2022,44,comedy,US,0,7.3,753,2.6,6.8,comedy,US,High score,High score
5917,ts317522,Dig Deeper: The Disappearance of Birgit Meier,show,2021,58,"documentation, crime",DE,1,7.2,2213,2.5,7.5,documentation,DE,High score,High score
5918,ts298791,Endless Night,show,2022,32,"drama, fantasy, thriller",BE,1,5.5,180,2.5,6.0,drama,BE,Low score,High score
5919,tm1022280,Maha Samudram,movie,2021,152,"action, drama, romance",IN,0,5.0,1029,2.5,4.8,action,IN,Low score,Low score
5920,tm1247054,Dongalunnaru Jagratha,movie,2022,96,thriller,IN,0,5.2,237,2.5,2.0,thriller,IN,Low score,Low score
5921,tm1141346,StarBeam: Beaming in the New Year,movie,2021,47,"animation, scifi, family",,0,5.1,42,2.5,7.3,animation,,Low score,High score
5922,tm1275931,Kalaga Thalaivan,movie,2022,142,thriller,IN,0,6.5364428,0,2.4,6.0,thriller,IN,,High score
5923,tm1173363,Blippi The Musical,movie,2022,60,"music, action, family",,0,4.3,11,2.4,2.0,music,,Low score,Low score
5924,tm1237305,Ricardo Quevedo: Tomorrow Will Be Worse,movie,2022,60,comedy,CO,0,5.7,75,2.4,7.3,comedy,CO,Low score,High score
5925,tm1111518,Farq Khebra,movie,2021,96,"romance, comedy, drama",EG,0,5.6,317,2.4,5.7,romance,EG,Low score,Low score
5926,tm1172947,Toolsidas Junior,movie,2022,130,"drama, family, sport",IN,0,7.4,2403,2.3,7.6,drama,IN,High score,High score
5927,tm1110241,Kaaval,movie,2021,148,"action, thriller, drama",IN,0,5.2,1553,2.3,4.4,action,IN,Low score,Low score
5928,ts347982,Matt Wright's Wild Territory,show,2022,32,"reality, documentation",AU,1,8.1,47,2.3,7.0,reality,AU,,High score
5929,tm1169181,Before Valentine's,movie,2022,111,"romance, comedy",,0,6.4,44,2.3,6.629937,romance,,High score,
5930,tm1183575,Celeb Five: Behind the Curtain,movie,2022,55,"comedy, documentation",KR,0,4.9,33,2.2,4.7,comedy,KR,Low score,Low score
5931,tm1138814,Ritsa: Three Colors of Love,movie,2021,90,"romance, drama",EG,0,5.5,182,2.2,10.0,romance,EG,Low score,Excellent score
5932,tm1025616,Loyiso Gola: Unlearning,movie,2021,60,comedy,,0,5.9,211,2.2,5.7,comedy,,Low score,Low score
5933,tm1120937,Montford: The Chickasaw Rancher,movie,2021,96,"western, drama, history",US,0,6.6,870,2.2,6.0,western,US,High score,High score
5934,ts314962,Stories of a Generation - with Pope Francis,show,2021,46,documentation,IT,1,7.6,255,2.2,7.0,documentation,IT,High score,High score
5935,tm1146635,Daiki Tsuneta: Tokyo Chaotic,movie,2021,89,"music, documentation",JP,0,7.7,32,2.2,6.0,music,JP,High score,High score
